DIRECTORIO,P6800,mes
7859303,47,Julio_2024
7859307,47,Julio_2024
7859307,47,Julio_2024
7859308,47,Julio_2024
7859309,47,Julio_2024
7859309,50,Julio_2024
7859310,30,Julio_2024
7859310,30,Julio_2024
7859311,48,Julio_2024
7859312,30,Julio_2024
7859312,40,Julio_2024
7859314,40,Julio_2024
7859314,40,Julio_2024
7859314,47,Julio_2024
7859314,30,Julio_2024
7859315,48,Julio_2024
7859316,40,Julio_2024
7859316,48,Julio_2024
7859316,48,Julio_2024
7859316,48,Julio_2024
7859317,30,Julio_2024
7859318,48,Julio_2024
7859319,48,Julio_2024
7859319,48,Julio_2024
7859320,48,Julio_2024
7859321,47,Julio_2024
7859321,50,Julio_2024
7859321,48,Julio_2024
7859322,48,Julio_2024
7859322,40,Julio_2024
7859323,60,Julio_2024
7859323,60,Julio_2024
7859323,20,Julio_2024
7859324,48,Julio_2024
7859325,48,Julio_2024
7859326,30,Julio_2024
7859326,40,Julio_2024
7859326,25,Julio_2024
7859327,48,Julio_2024
7859327,48,Julio_2024
7859329,36,Julio_2024
7859329,48,Julio_2024
7859330,48,Julio_2024
7859332,40,Julio_2024
7859333,40,Julio_2024
7859334,48,Julio_2024
7859334,40,Julio_2024
7859335,40,Julio_2024
7859335,48,Julio_2024
7859339,48,Julio_2024
7859343,40,Julio_2024
7859343,48,Julio_2024
7859344,40,Julio_2024
7859344,56,Julio_2024
7859344,47,Julio_2024
7859346,47,Julio_2024
7859346,47,Julio_2024
7859347,56,Julio_2024
7859347,47,Julio_2024
7859347,47,Julio_2024
7859348,40,Julio_2024
7859349,48,Julio_2024
7859350,40,Julio_2024
7859350,40,Julio_2024
7859353,40,Julio_2024
7859353,48,Julio_2024
7859355,48,Julio_2024
7859355,60,Julio_2024
7859355,48,Julio_2024
7859356,44,Julio_2024
7859356,24,Julio_2024
7859358,48,Julio_2024
7859359,30,Julio_2024
7859359,40,Julio_2024
7859360,28,Julio_2024
7859360,47,Julio_2024
7859363,47,Julio_2024
7859363,47,Julio_2024
7859365,40,Julio_2024
7859365,47,Julio_2024
7859366,48,Julio_2024
7859367,24,Julio_2024
7859367,47,Julio_2024
7859368,40,Julio_2024
7859370,50,Julio_2024
7859370,40,Julio_2024
7859371,48,Julio_2024
7859373,60,Julio_2024
7859373,48,Julio_2024
7859374,60,Julio_2024
